Type;Identification;Field;Locale;Market;Status;Default content;Translated content
PRODUCT;'B950;title;fi;;;MORF® HUIVI HEIJASTAVILLA RAIDOILLA;Morf® Huivi Heijastavilla Raidoilla
PRODUCT;'B950;body_html;fi;;;"• 100 % mikrokuitupolyesteriä
• Koko: 50 x 25 cm
• Hengittävä kangas
• Saumaton
• Heijastava raita huivin molemmilla sivuilla
• Käsinpesu
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 6117801000

Kyseessä ei ole lainmukainen henkilösuojain ja virallisen heijastimen käyttöä suositellaan lisäksi.";"• 100 % mikrokuitupolyesteriä
• Koko: 50 x 25 cm
• Hengittävä kangas
• Saumaton
• Heijastava raita huivin molemmilla sivuilla
• Käsinpesu
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 6117801000

Kyseessä ei ole lainmukainen henkilösuojain ja virallisen heijastimen käyttöä suositellaan lisäksi."
PRODUCT;'BG10;title;fi;;;PREMIUM JUMPPAPUSSI 11 L;Premium Jumppapussi 11 L
PRODUCT;'BG10;body_html;fi;;;"• 210D-polyesteriä
• Silver: 210D-nailonia
• Koko: 33 x 45 cm
• Paino: 100 g/m²
• Tilavuus: 11 litraa
• Vedenpitävä kangas
• Vahvistetut kulmat, joissa metalliset nauhareiät
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190";"• 210D-polyesteriä
• Silver: 210D-nailonia
• Koko: 33 x 45 cm
• Paino: 100 g/m²
• Tilavuus: 11 litraa
• Vedenpitävä kangas
• Vahvistetut kulmat, joissa metalliset nauhareiät
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190"
PRODUCT;'BG100;title;fi;;;KUSTOMOITAVA AVAIMENPERÄ;Kustomoitava Avaimenperä
PRODUCT;'BG100;body_html;fi;;;"• 100 % tiheään kudottua polyesteriä
• Koko: 2,5 x 20,5 cm
• Kestävä lukkokiinnitys
• Suunniteltu merkattavaksi
• Suositeltu merkkaustapa: siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 7907000010";"• 100 % tiheään kudottua polyesteriä
• Koko: 2,5 x 20,5 cm
• Kestävä lukkokiinnitys
• Suunniteltu merkattavaksi
• Suositeltu merkkaustapa: siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 7907000010"
PRODUCT;'BG110;title;fi;;;ICON JUMPPAPUSSI 15 L;Icon Jumppapussi 15 L
PRODUCT;'BG110;body_html;fi;;;"• 300D-polyesteriä
• Koko: 40 x 48 cm 
• Paino: 150 g/m²
• Tilavuus: 15 litraa
• Sivussa vetoketjullinen tasku
• Vahvat vetonarut
• Vedenpitävä kangas
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190";"• 300D-polyesteriä
• Koko: 40 x 48 cm 
• Paino: 150 g/m²
• Tilavuus: 15 litraa
• Sivussa vetoketjullinen tasku
• Vahvat vetonarut
• Vedenpitävä kangas
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190"
PRODUCT;'BG118L;title;fi;;;RECYCLED ROLL-TOP TIETOKONEREPPU 19 L;Recycled Roll-Top Tietokonereppu 19 L
PRODUCT;'BG118L;body_html;fi;;;"• 100 % GRS-sertifioitua kierrätettyä 300D-polyesteriä
• Koko: 30 x 44 x 14 cm
• Tilavuus: 19 litraa
• Pehmustettu tasku 15,6” kannettavalle tietokoneelle
• Vetoketjullinen sisätasku
• Etutaskussa pikkutaskuja kynille ym.
• Etutasku suunniteltu siten, että siihen on helppo merkata
• Sivussa tasku pullolle
• Pehmustettu takapaneeli
• Pehmustetut säädettävät olkahihnat
• Kantokahvat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190";"• 100 % GRS-sertifioitua kierrätettyä 300D-polyesteriä
• Koko: 30 x 44 x 14 cm
• Tilavuus: 19 litraa
• Pehmustettu tasku 15,6” kannettavalle tietokoneelle
• Vetoketjullinen sisätasku
• Etutaskussa pikkutaskuja kynille ym.
• Etutasku suunniteltu siten, että siihen on helppo merkata
• Sivussa tasku pullolle
• Pehmustettu takapaneeli
• Pehmustetut säädettävät olkahihnat
• Kantokahvat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190"
PRODUCT;'BG125;title;fi;;;ORIGINAL FASHION REPPU 18 L;Original Fashion Reppu 18 L
PRODUCT;'BG125;body_html;fi;;;"Käytännöllisessä ja tyylikkäässä Original Fashion-repussa kulkevat kätevästi niin työtarvikkeet, koulukirjat kuin urheiluvaatteet ja -varusteetkin.

• 100 % 600D-polyesteriä
• Koko: 31 x 42 x 21 cm
• Tilavuus: 18 litraa
• Vetoketjullinen etutasku
• Pehmustettu selkäosa
• Pehmustetut, säädettävät olkahihnat
• Kantokahva
• Suositeltu merkkaustapa: brodeeraus, merkki, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190";"Käytännöllisessä ja tyylikkäässä Original Fashion-repussa kulkevat kätevästi niin työtarvikkeet, koulukirjat kuin urheiluvaatteet ja -varusteetkin.

• 100 % 600D-polyesteriä
• Koko: 31 x 42 x 21 cm
• Tilavuus: 18 litraa
• Vetoketjullinen etutasku
• Pehmustettu selkäosa
• Pehmustetut, säädettävät olkahihnat
• Kantokahva
• Suositeltu merkkaustapa: brodeeraus, merkki, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190"
PRODUCT;'BG137;title;fi;;;HEIJASTAVA JUMPPAPUSSI 15 L;Heijastava Jumppapussi 15 L
PRODUCT;'BG137;body_html;fi;;;"• 100 % polyesteriä
• Koko: 40 x 48 cm
• Tilavuus: 15 litraa
• Heijastava puuterimainen pinta yhdellä puolella, 
toinen puoli musta
• Vetoketjullinen sivutasku
• Paksut vetonarut
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Kyseessä ei ole lainmukainen henkilösuojain ja virallisen heijastimen käyttöä suositellaan lisäksi.";"• 100 % polyesteriä
• Koko: 40 x 48 cm
• Tilavuus: 15 litraa
• Heijastava puuterimainen pinta yhdellä puolella, 
toinen puoli musta
• Vetoketjullinen sivutasku
• Paksut vetonarut
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Kyseessä ei ole lainmukainen henkilösuojain ja virallisen heijastimen käyttöä suositellaan lisäksi."
PRODUCT;'BG138;title;fi;;;HEIJASTAVA REPPU  15 L;Heijastava Reppu  15 L
PRODUCT;'BG138;body_html;fi;;;"• 85 % polyesteriä, 15 % puuvillaa
• Koko: 26 x 43 x 13 cm
• Tilavuus: 15 litraa
• Kokonaan heijastava kangas
• Kevyt ja kestävä reppu
• Rullakiinnitys
• Vetoketjutasku sivussa
• Pehmustetut ja säädettävät olkahihnat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Kyseessä ei ole lainmukainen henkilösuojain ja virallisen heijastimen käyttöä suositellaan lisäksi.";"• 85 % polyesteriä, 15 % puuvillaa
• Koko: 26 x 43 x 13 cm
• Tilavuus: 15 litraa
• Kokonaan heijastava kangas
• Kevyt ja kestävä reppu
• Rullakiinnitys
• Vetoketjutasku sivussa
• Pehmustetut ja säädettävät olkahihnat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Kyseessä ei ole lainmukainen henkilösuojain ja virallisen heijastimen käyttöä suositellaan lisäksi."
PRODUCT;'BG200;title;fi;;;FREESTYLE SPORTTIKASSI 26 L;Freestyle Sporttikassi 26 L
PRODUCT;'BG200;body_html;fi;;;"• 600D-polyesteriä
• Koko: 54 x 28 x 25 cm
• Tilavuus: 26 litraa
• Irrotettava, säädettävä ja pehmustettu olkahihna
• Pehmustetut kantokahvat
• Vetoketjulliset päätytaskut
• Sisäpuolella tasku
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190";"• 600D-polyesteriä
• Koko: 54 x 28 x 25 cm
• Tilavuus: 26 litraa
• Irrotettava, säädettävä ja pehmustettu olkahihna
• Pehmustetut kantokahvat
• Vetoketjulliset päätytaskut
• Sisäpuolella tasku
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190"
PRODUCT;'BG23;title;fi;;;CLASSIC WHEELIE URHEILUKASSI 96 L;Classic Wheelie Urheilukassi 96 L
PRODUCT;'BG23;body_html;fi;;;"• 600D-polyesteriä
• Koko: 75 x 38 x 35 cm
• Tilavuus: 96 litraa
• Säädettävä kaksiputkinen vetokahva
• Kestävät pyörät
• Kiristyshihnat
• Sisällä vetoketjutasku
• Irrotettava pehmustettu olkahihna
• Lukittava päälokero
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202129990";"• 600D-polyesteriä
• Koko: 75 x 38 x 35 cm
• Tilavuus: 96 litraa
• Säädettävä kaksiputkinen vetokahva
• Kestävät pyörät
• Kiristyshihnat
• Sisällä vetoketjutasku
• Irrotettava pehmustettu olkahihna
• Lukittava päälokero
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202129990"
PRODUCT;'BG277;title;fi;;;RECYCLED ESSENTIALS TOILETTILAUKKU 3 L;Recycled Essentials Toilettilaukku 3 L
PRODUCT;'BG277;body_html;fi;;;"• 100 % kierrätettyä 600D-polyesteriä
• Koko: 24 x 17 x 9 cm
• Tilavuus: 3 litraa
• PVC-vapaa
• Vetoketjullinen päälokero
• Pyyhittävä sisus
• Kantokahva
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190";"• 100 % kierrätettyä 600D-polyesteriä
• Koko: 24 x 17 x 9 cm
• Tilavuus: 3 litraa
• PVC-vapaa
• Vetoketjullinen päälokero
• Pyyhittävä sisus
• Kantokahva
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190"
PRODUCT;'BG278;title;fi;;;RECYCLED ESSENTIALS KASSI 35 L;Recycled Essentials Kassi 35 L
PRODUCT;'BG278;body_html;fi;;;"• 100 % GRS-sertifioitua kierrätettyä 600D-polyesteriä
• Koko: 55 x 28  x 25 cm
• Tilavuus: 35 litraa
• Vetoketjullinen päälokero
• Päätytasku kengille/märille tavaroille
• Vetoketjullinen sisätasku
• Säädettävät kantohihnat
• Voidaan kantaa kädessä tai olalla
• PVC-vapaa
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190";"• 100 % GRS-sertifioitua kierrätettyä 600D-polyesteriä
• Koko: 55 x 28  x 25 cm
• Tilavuus: 35 litraa
• Vetoketjullinen päälokero
• Päätytasku kengille/märille tavaroille
• Vetoketjullinen sisätasku
• Säädettävät kantohihnat
• Voidaan kantaa kädessä tai olalla
• PVC-vapaa
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190"
PRODUCT;'BG281;title;fi;;;RECYCLED JUMPPAPUSSI 15 L;Recycled Jumppapussi 15 L
PRODUCT;'BG281;body_html;fi;;;"• 100 % kierrätettyä 300D-polyesteriä
• Valmistettu neljästä muovipullosta
• Koko: 40 x 48 cm
• Paino: 150 g/m²
• Tilavuus: 15 litraa
• Vetoketjullinen sivutasku
• Vetimissä heijastavat yksityiskohdat
• Paksut vetonarut
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190";"• 100 % kierrätettyä 300D-polyesteriä
• Valmistettu neljästä muovipullosta
• Koko: 40 x 48 cm
• Paino: 150 g/m²
• Tilavuus: 15 litraa
• Vetoketjullinen sivutasku
• Vetimissä heijastavat yksityiskohdat
• Paksut vetonarut
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190"
PRODUCT;'BG285;title;fi;;;RECYCLED REPPU 18 L;Recycled Reppu 18 L
PRODUCT;'BG285;body_html;fi;;;"Recycled-reppu on 10 kierrätysmuovipullosta valmistettu kestävä ja kevyt reppu, jossa on pehmustetut selkäosa ja olkahihnat. Päälokeron lisäksi repun etupuolella on vetoketjullinen tasku.

• 100 % kierrätettyä 600D-polyesteriä
• Valmistettu 10 muovipullosta
• Koko: 31 x 42 x 21cm
• Tilavuus: 18 litraa
• Irrotettava tuotelappu
• Vetoketjullinen etutasku
• Vetimissä heijastavat yksityiskohdat
• Säädettävät pehmustetut olkahihnat
• Suositeltu merkkaustapa: brodeeraus, merkki, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190";"Recycled-reppu on 10 kierrätysmuovipullosta valmistettu kestävä ja kevyt reppu, jossa on pehmustetut selkäosa ja olkahihnat. Päälokeron lisäksi repun etupuolella on vetoketjullinen tasku.

• 100 % kierrätettyä 600D-polyesteriä
• Valmistettu 10 muovipullosta
• Koko: 31 x 42 x 21cm
• Tilavuus: 18 litraa
• Irrotettava tuotelappu
• Vetoketjullinen etutasku
• Vetimissä heijastavat yksityiskohdat
• Säädettävät pehmustetut olkahihnat
• Suositeltu merkkaustapa: brodeeraus, merkki, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190"
PRODUCT;'BG287;title;fi;;;RECYCLED KYLMÄLAUKKUREPPU 16 L;Recycled KylmäLaukkureppu 16 L
PRODUCT;'BG287;body_html;fi;;;"• 100 % kierrätettyä 600D-polyesteriä
• PEVA vuori - ei käytetty BPA:ta
• Valmistettu ilman PVC:tä ja ftalaattia
• Koko: 30 x 40 x 14 cm
• Tilavuus: 16 litraa
• Vetoketjullinen etutasku
• Etutaskussa pikkutaskuja
• Päälokero kokonaan eristetty
• Sisäpinta helppo puhdistaa pyyhkäisemällä
• Vetoketjujen vetimissä heijastavat yksityiskohdat
• Pehmustetut ja säädettävät olkahihnat
• Kaksi kantokahvaa
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190";"• 100 % kierrätettyä 600D-polyesteriä
• PEVA vuori - ei käytetty BPA:ta
• Valmistettu ilman PVC:tä ja ftalaattia
• Koko: 30 x 40 x 14 cm
• Tilavuus: 16 litraa
• Vetoketjullinen etutasku
• Etutaskussa pikkutaskuja
• Päälokero kokonaan eristetty
• Sisäpinta helppo puhdistaa pyyhkäisemällä
• Vetoketjujen vetimissä heijastavat yksityiskohdat
• Pehmustetut ja säädettävät olkahihnat
• Kaksi kantokahvaa
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190"
PRODUCT;'BG288;title;fi;;;RECYCLED MINI KYLMÄLAUKKU 4 L;Recycled Mini KylmäLaukku 4 L
PRODUCT;'BG288;body_html;fi;;;"• 100 % kierrätettyä 600D-polyesteriä
• PEVA-vuori, ei käytetty BPA:ta
• Valmistettu ilman PVC:tä ja ftalaattia
• Koko: 24 x 17 x 17 cm
• Tilavuus: 4 litraa
• Vetoketjullinen etutasku
• Päälokero kokonaan eristetty
• Sisäpinta helppo puhdistaa pyyhkäisemällä
• Vetoketjujen vetimissä heijastavat yksityiskohdat
• Kantokahvat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890";"• 100 % kierrätettyä 600D-polyesteriä
• PEVA-vuori, ei käytetty BPA:ta
• Valmistettu ilman PVC:tä ja ftalaattia
• Koko: 24 x 17 x 17 cm
• Tilavuus: 4 litraa
• Vetoketjullinen etutasku
• Päälokero kokonaan eristetty
• Sisäpinta helppo puhdistaa pyyhkäisemällä
• Vetoketjujen vetimissä heijastavat yksityiskohdat
• Kantokahvat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890"
PRODUCT;'BG290;title;fi;;;RECYCLED LARGE KYLMÄLAUKKU 25 L;Recycled Large KylmäLaukku 25 L
PRODUCT;'BG290;body_html;fi;;;"• 100 % kierrätettyä 600D-polyesteriä
• PEVA vuori - ei käytetty BPA:ta
• Valmistettu ilman PVC:tä ja ftalaattia
• Koko: 40 x 26 x 28 cm
• Tilavuus: 25 litraa
• Vetoketjullinen etutasku
• Päälokero kokonaan eristetty
• Sisäpuolella pullotasku
• Sisäpinta helppo puhdistaa pyyhkäisemällä
• Vetoketjujen vetimissä heijastavat yksityiskohdat
• Olkahihna ja kaksi kantokahvaa
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890";"• 100 % kierrätettyä 600D-polyesteriä
• PEVA vuori - ei käytetty BPA:ta
• Valmistettu ilman PVC:tä ja ftalaattia
• Koko: 40 x 26 x 28 cm
• Tilavuus: 25 litraa
• Vetoketjullinen etutasku
• Päälokero kokonaan eristetty
• Sisäpuolella pullotasku
• Sisäpinta helppo puhdistaa pyyhkäisemällä
• Vetoketjujen vetimissä heijastavat yksityiskohdat
• Olkahihna ja kaksi kantokahvaa
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890"
PRODUCT;'BG332;title;fi;;;MATTE PU TOILETTILAUKKU 4 L;Matte Pu Toilettilaukku 4 L
PRODUCT;'BG332;body_html;fi;;;"• 100 % kierrätettyä polyesteriä
• Matte-Look PU-pinnoite, joka hylkii vettä
• Koko: 25 x 12 x 15 cm
• Tilavuus: 4 litraa
• Tyylikäs pelkistetty muotoilu
• Vetoketjullinen päälokero
• Pyyhittävä sisus
• Kantokahva
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 28-32 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys";"• 100 % kierrätettyä polyesteriä
• Matte-Look PU-pinnoite, joka hylkii vettä
• Koko: 25 x 12 x 15 cm
• Tilavuus: 4 litraa
• Tyylikäs pelkistetty muotoilu
• Vetoketjullinen päälokero
• Pyyhittävä sisus
• Kantokahva
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 28-32 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys"
PRODUCT;'BG335;title;fi;;;MATTE PU ROLL-TOP REPPU 15 L;Matte Pu Roll-Top Reppu 15 L
PRODUCT;'BG335;body_html;fi;;;"• 100 % kierrätettyä polyesteriä
• Mattapintainen PU-päällyste
• Vettähylkivä materiaali
• Koko: 28 x 43 x 13 cm
• Tilavuus: 15 litraa
• Tyylikäs pelkistetty muotoilu
• Rullattava kiinnitys soljella
• Vetoketjullinen etutasku
• Vahvistettu pohja
• Pehmustetut ja säädettävät olkahihnat sekä kantokahva
• Pehmustettu tasku 15,6” kannettavalle tietokoneelle
• Pullotasku sisäpuolella
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 28-32 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys";"• 100 % kierrätettyä polyesteriä
• Mattapintainen PU-päällyste
• Vettähylkivä materiaali
• Koko: 28 x 43 x 13 cm
• Tilavuus: 15 litraa
• Tyylikäs pelkistetty muotoilu
• Rullattava kiinnitys soljella
• Vetoketjullinen etutasku
• Vahvistettu pohja
• Pehmustetut ja säädettävät olkahihnat sekä kantokahva
• Pehmustettu tasku 15,6” kannettavalle tietokoneelle
• Pullotasku sisäpuolella
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 28-32 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys"
PRODUCT;'BG338;title;fi;;;MATTE PU WEEKENDER 28 L;Matte Pu Weekender 28 L
PRODUCT;'BG338;body_html;fi;;;"• 100 % kierrätettyä polyesteriä
• Mattapintainen PU-päällyste
• Koko: 53 x 24 x 27 cm
• Tilavuus: 28 litraa
• Tyylikäs pelkistetty muotoilu
• Vettähylkivä materiaali
• Vetoketjukiinnitys, sisäpuolella vetoketjutasku
• Kantohihnat, joissa kankaanvärinen pehmuste
• Vahvistettu pohja
• PVC-vapaa
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 28-32 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys";"• 100 % kierrätettyä polyesteriä
• Mattapintainen PU-päällyste
• Koko: 53 x 24 x 27 cm
• Tilavuus: 28 litraa
• Tyylikäs pelkistetty muotoilu
• Vettähylkivä materiaali
• Vetoketjukiinnitys, sisäpuolella vetoketjutasku
• Kantohihnat, joissa kankaanvärinen pehmuste
• Vahvistettu pohja
• PVC-vapaa
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 28-32 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys"
PRODUCT;'BG42;title;fi;;;BELT VYÖLAUKKU 2,5 L;Belt VyöLaukku 2,5 L
PRODUCT;'BG42;body_html;fi;;;"• 600D-polyesteriä
• Koko: 38 x 14 x 8 cm
• Tilavuus: 2,5 litraa
• Säädettävä hihna
• Tilava päälokero
• Vetoketjullinen takatasku
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890";"• 600D-polyesteriä
• Koko: 38 x 14 x 8 cm
• Tilavuus: 2,5 litraa
• Säädettävä hihna
• Tilava päälokero
• Vetoketjullinen takatasku
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890"
PRODUCT;'BG47;title;fi;;;TRAVEL WALLET;Travel Wallet
PRODUCT;'BG47;body_html;fi;;;"• 600D-polyesteriä
• Koko: 14 x 19 x 2 cm
• Säädettävä litteä hihna, jonka voi piilottaa walletin taskuun
• Älypuhelimelle sopiva koko
• Pehmustettu
• Tasku passille
• Etutaskussa pikkutaskuja
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890";"• 600D-polyesteriä
• Koko: 14 x 19 x 2 cm
• Säädettävä litteä hihna, jonka voi piilottaa walletin taskuun
• Älypuhelimelle sopiva koko
• Pehmustettu
• Tasku passille
• Etutaskussa pikkutaskuja
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890"
PRODUCT;'BG481;title;fi;;;ESCAPE CARRY-ON VETOLAUKKU 40 L;Escape Carry-On Vetolaukku 40 L
PRODUCT;'BG481;body_html;fi;;;"• 600D-polyesteriä
• Koko: 35 x 54 x 30 cm
• Tilavuus: 40 litraa
• Kätevä kaksiosainen laukku, joka on helppo pakata
• Lukittava vetoketju
• Kiristyshihnat
• Pehmustetut kahvat sivulla ja päädyssä
• Useimpien lentoyhtiöiden käsimatkatavaravaatimusten mukainen
• Pehmustettu tasku 15.6’’ kannettavalle tietokoneelle
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202129990";"• 600D-polyesteriä
• Koko: 35 x 54 x 30 cm
• Tilavuus: 40 litraa
• Kätevä kaksiosainen laukku, joka on helppo pakata
• Lukittava vetoketju
• Kiristyshihnat
• Pehmustetut kahvat sivulla ja päädyssä
• Useimpien lentoyhtiöiden käsimatkatavaravaatimusten mukainen
• Pehmustettu tasku 15.6’’ kannettavalle tietokoneelle
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202129990"
PRODUCT;'BG483;title;fi;;;ESCAPE CHECK-IN WHEELIE 100 L;Escape Check-In Wheelie 100 L
PRODUCT;'BG483;body_html;fi;;;"• 600D-polyesteriä
• Koko: 42 x 81 x 36 cm
• Tilavuus: 100 litraa
• Kätevä kaksiosainen laukku, joka on helppo pakata
• Säädettävä vetokahva
• Lukittava vetoketju
• Ulkopuolella läpinäkyvä tasku henkilötiedoille
• Irrotettavat kahvapehmusteet merkkausta varten
• Kiristyshihnat
• Monta kantokahvaa, jotka helpottavat laukun nostamista
• Kestävät renkaat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202129990";"• 600D-polyesteriä
• Koko: 42 x 81 x 36 cm
• Tilavuus: 100 litraa
• Kätevä kaksiosainen laukku, joka on helppo pakata
• Säädettävä vetokahva
• Lukittava vetoketju
• Ulkopuolella läpinäkyvä tasku henkilötiedoille
• Irrotettavat kahvapehmusteet merkkausta varten
• Kiristyshihnat
• Monta kantokahvaa, jotka helpottavat laukun nostamista
• Kestävät renkaat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202129990"
PRODUCT;'BG542;title;fi;;;ATHLEISURE JUMPPAPUSSI 18 L;Athleisure Jumppapussi 18 L
PRODUCT;'BG542;body_html;fi;;;"• 600D/420D-polyesteriä 
• Koko: 35 x 49 x 9 cm 
• Tilavuus: 18 litraa 
• Vedenkestävä kangas
• Vesitiivis tasku, esim. uimapuvulle
• Taskun sisällä erillinen verkkotasku vesipullolle
• Metalliset ilmareiät
• Paksut vetonarut
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190";"• 600D/420D-polyesteriä 
• Koko: 35 x 49 x 9 cm 
• Tilavuus: 18 litraa 
• Vedenkestävä kangas
• Vesitiivis tasku, esim. uimapuvulle
• Taskun sisällä erillinen verkkotasku vesipullolle
• Metalliset ilmareiät
• Paksut vetonarut
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190"
PRODUCT;'BG544;title;fi;;;ATHLEISURE URHEILUKASSI 30 L;Athleisure Urheilukassi 30 L
