title,Translated content,size_table
"Vintage Trucker Lippis","• 100 % pestyä puuvillaa
• Verkko: 100 % kierrätettyä polyesteriä
• 6-paneelia
• Pehmeä kupu
• Kaareva lippa
• Kontrastin väriset tikkaukset
• Muovisäätö",""
"Earthaware® Organic Samettilippis","• 100 % orgaanista puuvillaa
• OCS-sertifioitua puuvillaa, CU811033 sertifikaatti
• 5-paneelia
• Suora lippa
• Retrotyylinen
• Kankainen säätöhihna ja metallisolki
• Metalliset ilmareiät
• Valmistusmaa Kiina
• Tullikoodi 6505003000",""
"Heritage Cord Lippis","• 100 % puuvillavakosamettia
• 6 paneelia
• Pehmeä kupu
• Puuvillainen säätöhihna ja hikinauha
• Valmistusmaa Kiina
• Tullikoodi 6505003000",""
"KääNnettäVä Bucket Hattu","• 100 % puuvillatwilliä
• Kapea lieri
• Ommellut ilmareiät
• Valmistusmaa Kiina
• Tullikoodi 6505009090

Koot: S/M (58 cm) ja L/XL (60 cm)",""
"Earthaware® Organic Bucket Hat","• 100 % orgaanista puuvillasamettia
• Orgaanisesti kasvatettua OCS puuvillaa, Control Union CU811033 sertifikaatti
• Puuvillatwill hikinauha
• Retrotyylinen
• Valmistusmaa Kiina
• Tullikoodi 6505009090

Kaksi kokoa: S/M ja L/XL",""
"Vintage Bucket Hattu","• 100 % pestyä puuvillaa
• Kudotut ilmareiät
• Retrotyylinen
• UPD50+ aurinkosuoja
• Valmistusmaa Kiina
• Tullikoodi 6505009090

Kaksi kokoa: S/M ja L/XL",""
"Earthaware® Stretch Lippis","• 98 % orgaanista puuvillaa, 2 % elastaania
• Control Union CU81133 sertifioitua OSC puuvillaa
• Pehmeän hikipannan ansiosta mukava päässä
• 6 paneelia
• Umpikupu
• Valmistusmaa: Kiina
• Tullikoodi 6505003000

Koot S/M ja L/XL",""
"Earthaware Sandwich Lippis","• 100 % orgaanista puuvillatwilliä
• Control Union CU811033 OCS sertfioitua orgaanista puuvillaa
• 5 paneelia
• Kontrastinvärinen raita lipan etuosassa
• Kudotut ilmareiät
• Kontrastinvärinen säätöhihna metallisoljella
• Valmistusmaa: Kiina
• Tullikoodi: 6505003000",""
"Recycled Bucket Hattu","• 100 % kierrätettyä polyesteriä	
• Kierrätyspolyesteri on valmistettu käytetyistä muovipulloista
• Kudotut ilmareiät
• Joustava säätönyöri lukituksella
• Valmistusmaa Kiina
• Tullikoodi 6505009090

Koot: S/M (58 cm) ja L/XL (60 cm)",""
"Cargo Kalastajahattu/Hellehattu","• 65 % polyesteriä, 35 % puuvillaa
• UPF50+ aurinkosuoja
• Verkkovuori
• Joustava säätönyöri
• Painatusalue 14 x 5 cm
• Valmistusmaa Kiina
• Tullikoodi 6505009090",""
"Morf® Huivi","• 100 % mikrokuitupolyesteriä
• Koko: 50 x 25 cm 
• 150 g/m²
• Hengittävä kangas
• Monikäyttöinen
• Saumaton
• Pesu 40°C
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 6117801000

KYSY MYÖS KUSTOMOITUNA VALMISTETTUJA VALMIIKSI PAINETTUJA TUUBIHUIVEJA.",""
"Organic Bucket Hattu","• 100 % OCS-sertifioitua orgaanista puuvillatwilliä
• UPF50+ aurinkosuoja
• Kudotut ilmareiät
• Valmistusmaa Kiina
• Tullikoodi 6505009090

Koot: S/M (58 cm) ja L/XL (60 cm)",""
"Recycled Morf® Huivi","• 100 % kierrätettyä REPREVE®-mikrokuitupolyesteriä
• Koko: 50 x 25 cm 
• Hengittävä kangas
• Saumaton
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 6117801000",""
"Merino Morf® Huivi","Merinovilla on hengittävää ja lämpöä säätelevää, ja tarjoaa optimaalisen mukavuuden kaikissa olosuhteissa. Pehmeä ja ohut Morf® lämmittää kaulaa pyöräillessä tai muuten ulkoillessa.

• 100 % australialaista, mulesing-vapaata merinovillaa
• Koko: 50 x 25 cm
• 160 g/m²
• Hengittävä ja nopeasti kuivuva materiaali
• Luonnollisesti antibakteerinen ja hajuja hylkivä
• Monikäyttöinen
• Ohuet saumat mukavuuden takaamiseksi
• Vain käsinpesu
• Suositeltu merkkaustapa: brodeeraus ja merkki
• Valmistusmaa Kiina
• Tullikoodi 6117801000",""
"Suprafleece® Morf® Huivi","• 100 % mikrokuitupolyesteriä Suprafleece®-tehosteella
• Koko: 74 x 25 cm
• Hengittävä
• Fleeceosassa sauma
• Erittäin lämmin
• Monikäyttöinen
• Pesu 40°C
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 6117801000",""
"Morf® Huivi Heijastavilla Raidoilla","• 100 % mikrokuitupolyesteriä
• Koko: 50 x 25 cm
• Hengittävä kangas
• Saumaton
• Heijastava raita huivin molemmilla sivuilla
• Käsinpesu
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 6117801000

Kyseessä ei ole lainmukainen henkilösuojain ja virallisen heijastimen käyttöä suositellaan lisäksi.",""
"Premium Jumppapussi 11 L","• 210D-polyesteriä
• Silver: 210D-nailonia
• Koko: 33 x 45 cm
• Paino: 100 g/m²
• Tilavuus: 11 litraa
• Vedenpitävä kangas
• Vahvistetut kulmat, joissa metalliset nauhareiät
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Kustomoitava Avaimenperä","• 100 % tiheään kudottua polyesteriä
• Koko: 2,5 x 20,5 cm
• Kestävä lukkokiinnitys
• Suunniteltu merkattavaksi
• Suositeltu merkkaustapa: siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 7907000010",""
"Icon Jumppapussi 15 L","• 300D-polyesteriä
• Koko: 40 x 48 cm 
• Paino: 150 g/m²
• Tilavuus: 15 litraa
• Sivussa vetoketjullinen tasku
• Vahvat vetonarut
• Vedenpitävä kangas
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Recycled Roll-Top Tietokonereppu 19 L","• 100 % GRS-sertifioitua kierrätettyä 300D-polyesteriä
• Koko: 30 x 44 x 14 cm
• Tilavuus: 19 litraa
• Pehmustettu tasku 15,6” kannettavalle tietokoneelle
• Vetoketjullinen sisätasku
• Etutaskussa pikkutaskuja kynille ym.
• Etutasku suunniteltu siten, että siihen on helppo merkata
• Sivussa tasku pullolle
• Pehmustettu takapaneeli
• Pehmustetut säädettävät olkahihnat
• Kantokahvat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Original Fashion Reppu 18 L","Käytännöllisessä ja tyylikkäässä Original Fashion-repussa kulkevat kätevästi niin työtarvikkeet, koulukirjat kuin urheiluvaatteet ja -varusteetkin.

• 100 % 600D-polyesteriä
• Koko: 31 x 42 x 21 cm
• Tilavuus: 18 litraa
• Vetoketjullinen etutasku
• Pehmustettu selkäosa
• Pehmustetut, säädettävät olkahihnat
• Kantokahva
• Suositeltu merkkaustapa: brodeeraus, merkki, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Heijastava Jumppapussi 15 L","• 100 % polyesteriä
• Koko: 40 x 48 cm
• Tilavuus: 15 litraa
• Heijastava puuterimainen pinta yhdellä puolella, 
toinen puoli musta
• Vetoketjullinen sivutasku
• Paksut vetonarut
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Kyseessä ei ole lainmukainen henkilösuojain ja virallisen heijastimen käyttöä suositellaan lisäksi.",""
"Heijastava Reppu  15 L","• 85 % polyesteriä, 15 % puuvillaa
• Koko: 26 x 43 x 13 cm
• Tilavuus: 15 litraa
• Kokonaan heijastava kangas
• Kevyt ja kestävä reppu
• Rullakiinnitys
• Vetoketjutasku sivussa
• Pehmustetut ja säädettävät olkahihnat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Kyseessä ei ole lainmukainen henkilösuojain ja virallisen heijastimen käyttöä suositellaan lisäksi.",""
"Freestyle Sporttikassi 26 L","• 600D-polyesteriä
• Koko: 54 x 28 x 25 cm
• Tilavuus: 26 litraa
• Irrotettava, säädettävä ja pehmustettu olkahihna
• Pehmustetut kantokahvat
• Vetoketjulliset päätytaskut
• Sisäpuolella tasku
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Classic Wheelie Urheilukassi 96 L","• 600D-polyesteriä
• Koko: 75 x 38 x 35 cm
• Tilavuus: 96 litraa
• Säädettävä kaksiputkinen vetokahva
• Kestävät pyörät
• Kiristyshihnat
• Sisällä vetoketjutasku
• Irrotettava pehmustettu olkahihna
• Lukittava päälokero
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202129990",""
"Recycled Essentials Toilettilaukku 3 L","• 100 % kierrätettyä 600D-polyesteriä
• Koko: 24 x 17 x 9 cm
• Tilavuus: 3 litraa
• PVC-vapaa
• Vetoketjullinen päälokero
• Pyyhittävä sisus
• Kantokahva
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Recycled Essentials Kassi 35 L","• 100 % GRS-sertifioitua kierrätettyä 600D-polyesteriä
• Koko: 55 x 28  x 25 cm
• Tilavuus: 35 litraa
• Vetoketjullinen päälokero
• Päätytasku kengille/märille tavaroille
• Vetoketjullinen sisätasku
• Säädettävät kantohihnat
• Voidaan kantaa kädessä tai olalla
• PVC-vapaa
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Recycled Jumppapussi 15 L","• 100 % kierrätettyä 300D-polyesteriä
• Valmistettu neljästä muovipullosta
• Koko: 40 x 48 cm
• Paino: 150 g/m²
• Tilavuus: 15 litraa
• Vetoketjullinen sivutasku
• Vetimissä heijastavat yksityiskohdat
• Paksut vetonarut
• Suositeltu merkkaustapa: brodeeraus, merkki, silkkipaino, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Recycled Reppu 18 L","Recycled-reppu on 10 kierrätysmuovipullosta valmistettu kestävä ja kevyt reppu, jossa on pehmustetut selkäosa ja olkahihnat. Päälokeron lisäksi repun etupuolella on vetoketjullinen tasku.

• 100 % kierrätettyä 600D-polyesteriä
• Valmistettu 10 muovipullosta
• Koko: 31 x 42 x 21cm
• Tilavuus: 18 litraa
• Irrotettava tuotelappu
• Vetoketjullinen etutasku
• Vetimissä heijastavat yksityiskohdat
• Säädettävät pehmustetut olkahihnat
• Suositeltu merkkaustapa: brodeeraus, merkki, siirtokuva ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Recycled KylmäLaukkureppu 16 L","• 100 % kierrätettyä 600D-polyesteriä
• PEVA vuori - ei käytetty BPA:ta
• Valmistettu ilman PVC:tä ja ftalaattia
• Koko: 30 x 40 x 14 cm
• Tilavuus: 16 litraa
• Vetoketjullinen etutasku
• Etutaskussa pikkutaskuja
• Päälokero kokonaan eristetty
• Sisäpinta helppo puhdistaa pyyhkäisemällä
• Vetoketjujen vetimissä heijastavat yksityiskohdat
• Pehmustetut ja säädettävät olkahihnat
• Kaksi kantokahvaa
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Recycled Mini KylmäLaukku 4 L","• 100 % kierrätettyä 600D-polyesteriä
• PEVA-vuori, ei käytetty BPA:ta
• Valmistettu ilman PVC:tä ja ftalaattia
• Koko: 24 x 17 x 17 cm
• Tilavuus: 4 litraa
• Vetoketjullinen etutasku
• Päälokero kokonaan eristetty
• Sisäpinta helppo puhdistaa pyyhkäisemällä
• Vetoketjujen vetimissä heijastavat yksityiskohdat
• Kantokahvat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890",""
"Recycled Large KylmäLaukku 25 L","• 100 % kierrätettyä 600D-polyesteriä
• PEVA vuori - ei käytetty BPA:ta
• Valmistettu ilman PVC:tä ja ftalaattia
• Koko: 40 x 26 x 28 cm
• Tilavuus: 25 litraa
• Vetoketjullinen etutasku
• Päälokero kokonaan eristetty
• Sisäpuolella pullotasku
• Sisäpinta helppo puhdistaa pyyhkäisemällä
• Vetoketjujen vetimissä heijastavat yksityiskohdat
• Olkahihna ja kaksi kantokahvaa
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890",""
"Matte Pu Toilettilaukku 4 L","• 100 % kierrätettyä polyesteriä
• Matte-Look PU-pinnoite, joka hylkii vettä
• Koko: 25 x 12 x 15 cm
• Tilavuus: 4 litraa
• Tyylikäs pelkistetty muotoilu
• Vetoketjullinen päälokero
• Pyyhittävä sisus
• Kantokahva
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 28-32 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys",""
"Matte Pu Roll-Top Reppu 15 L","• 100 % kierrätettyä polyesteriä
• Mattapintainen PU-päällyste
• Vettähylkivä materiaali
• Koko: 28 x 43 x 13 cm
• Tilavuus: 15 litraa
• Tyylikäs pelkistetty muotoilu
• Rullattava kiinnitys soljella
• Vetoketjullinen etutasku
• Vahvistettu pohja
• Pehmustetut ja säädettävät olkahihnat sekä kantokahva
• Pehmustettu tasku 15,6” kannettavalle tietokoneelle
• Pullotasku sisäpuolella
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 28-32 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys",""
"Matte Pu Weekender 28 L","• 100 % kierrätettyä polyesteriä
• Mattapintainen PU-päällyste
• Koko: 53 x 24 x 27 cm
• Tilavuus: 28 litraa
• Tyylikäs pelkistetty muotoilu
• Vettähylkivä materiaali
• Vetoketjukiinnitys, sisäpuolella vetoketjutasku
• Kantohihnat, joissa kankaanvärinen pehmuste
• Vahvistettu pohja
• PVC-vapaa
• Valmistusmaa Kiina
• Tullikoodi 4202921100

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 28-32 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys",""
"Belt VyöLaukku 2,5 L","• 600D-polyesteriä
• Koko: 38 x 14 x 8 cm
• Tilavuus: 2,5 litraa
• Säädettävä hihna
• Tilava päälokero
• Vetoketjullinen takatasku
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890",""
"Travel Wallet","• 600D-polyesteriä
• Koko: 14 x 19 x 2 cm
• Säädettävä litteä hihna, jonka voi piilottaa walletin taskuun
• Älypuhelimelle sopiva koko
• Pehmustettu
• Tasku passille
• Etutaskussa pikkutaskuja
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890",""
"Escape Carry-On Vetolaukku 40 L","• 600D-polyesteriä
• Koko: 35 x 54 x 30 cm
• Tilavuus: 40 litraa
• Kätevä kaksiosainen laukku, joka on helppo pakata
• Lukittava vetoketju
• Kiristyshihnat
• Pehmustetut kahvat sivulla ja päädyssä
• Useimpien lentoyhtiöiden käsimatkatavaravaatimusten mukainen
• Pehmustettu tasku 15.6’’ kannettavalle tietokoneelle
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202129990",""
"Escape Check-In Wheelie 100 L","• 600D-polyesteriä
• Koko: 42 x 81 x 36 cm
• Tilavuus: 100 litraa
• Kätevä kaksiosainen laukku, joka on helppo pakata
• Säädettävä vetokahva
• Lukittava vetoketju
• Ulkopuolella läpinäkyvä tasku henkilötiedoille
• Irrotettavat kahvapehmusteet merkkausta varten
• Kiristyshihnat
• Monta kantokahvaa, jotka helpottavat laukun nostamista
• Kestävät renkaat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202129990",""
"Athleisure Jumppapussi 18 L","• 600D/420D-polyesteriä 
• Koko: 35 x 49 x 9 cm 
• Tilavuus: 18 litraa 
• Vedenkestävä kangas
• Vesitiivis tasku, esim. uimapuvulle
• Taskun sisällä erillinen verkkotasku vesipullolle
• Metalliset ilmareiät
• Paksut vetonarut
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Athleisure Urheilukassi 30 L","• 600D/420D-polyesteriä
• Koko: 54 x 29 x 26 cm
• Tilavuus: 30 litraa
• Irrotettava, säädettävä ja pehmustettu olkahihna
• Pehmustetut kantokahvat
• Päädyssä vetoketjullinen vedenpitävä kenkätunneli
• Sivussa vetoketjullinen vedenpitävä tasku
• Sisäpuolella vetoketjullinen tasku, ulkopuolella verkkotasku
• Pohjassa kulumista estävät tapit
• Metalliset ilmareiät
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Athleisure Sports Reppu 23 L","• 600D/420D-polyesteriä
• Koko: 30 x 50 x 18 cm
• Tilavuus: 23 litraa
• Vedenpitävä kangas
• Vetoketjullinen päälokero
• Vetoketjullinen etutasku
• Sisällä tasku
• Sivussa tasku pullolle
• Metalliset ilmareiät
• Hengittävä pehmustettu selkäosa
• Pehmustetut, säädettävät olkahihnat
• Pehmustettu kantokahva
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Athleisure Pro Reppu 18 L","Kätevässä ja monikäyttöisessä Athleisure Pro-reppussa on paljon taskuja ja yksityiskohtia. Repun alaosassa on laajentuva vedenpitävä tasku esimerkiksi märille vaatteille.

• 600D/420D-polyesteriä
• Koko: 31 x 44 x 16 cm
• Tilavuus: 18 litraa
• Pehmustettu tasku 15.6"" kannettavalle tietokoneelle
• Pehmustetut, säädettävät olkahihnat
• Kiristyshihnat ja kantokahva
• Pehmustettu selkäosa
• Etutaskussa pikkutaskuja mm. kännykälle ja avaimille
• Metalliset ilmareiät
• Mediatasku ja aukko kuulokkeiden johdolle
• Vedenpitävä laajentuva tasku esim. märille vaatteille
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Small Treenilaukku 20 L","• 100 % kierrätettyä 600D polyesteriä
• Koko 41 x 22 x 23 cm
• Tilavuus 20 litraa
• 100 % Control Unionin GRS sertifioitua polyesteriä
• PU-päällystetty pohja
• Kenkätasku
• Kahteen suuntaan avautuva vetoketju helpottaa pakkaamista
• Vetoketjullinen etutasku
• Sisäpuolella verkkotaskut
• Pehmustettu kahva
• Irrotettava ja säädettävä olkahihna
• Alkuperämaa Kiina
• Tullikoodi 4202929190",""
"Large Treenilaukku 35 L","• 100 % kierrätettyä 600D polyesteriä
• Koko 55 x 26 x 27 cm
• Tilavuus 35 litraa
• 100 % Control Unionin GRS sertifioitua polyesteriä
• PU-päällystetty pohja
• Kenkätasku
• Kahteen suuntaan avautuva vetoketju helpottaa pakkaamista
• Vetoketjullinen etutasku
• Sisäpuolella verkkotaskut
• Pehmustettu kahva
• Irrotettava ja säädettävä olkahihna
• Alkuperämaa Kiina
• Tullikoodi 4202929190",""
"Teamwear Kassi 54 L","• 600D/400D-polyesteriä
• Koko: 64 x 35 x 31 cm
• Tilavuus: 54 litraa
• Vetoketjulliset päätytaskut
• Säädettävä, irrotettava ja pehmustettu olkahihna
• Heijastintereet
• Pehmustetut kantokahvat
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Vintage Laptop Reppu 18 L","• 600D-polyesteriä
• Koko: 30 x 46 x 17 cm
• Tilavuus: 18 litraa
• Pehmustettu tasku 17"" kannettavalle tietokoneelle
• Pehmustettu takapaneeli
• EasyPocket™-tasku helpottaa merkkaamista
• Keinonahka- ja metalliyksityiskohdat
• Nyörisäätö
• Magneettikiinnitys
• Pehmustetut, säädettävät olkahihnat
• Kantokahva
• Valmistusmaa Kiina
• Tullikoodi 4202929190",""
"Felt Huopa Ostoskassi 22 L","• 100 % polyesterihuopaa
• Koko: 49 x 39 x 13,5 cm
• Tilavuus: 22 litraa
• Kahvojen pituus 58 cm, voidaan kantaa kädessä tai olalla
• Tarralla kiinnitettävä sisätasku
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890",""
"Felt Huopa Tote Kassi 15 L","• 100 % polyesterihuopaa
• Koko: 37 x 41 x 11,5 cm
• Tilavuus: 15 litraa
• Kahvojen pituus 60 cm, voidaan kantaa kädessä tai olalla
• Suositeltu merkkaustapa: brodeeraus, merkki ja siirtokuva
• Valmistusmaa Kiina
• Tullikoodi 4202929890",""
"Boutique PyöReä Avaimenperä","• 100 % PU-keinonahkaa
• Halkaisija 7 cm
• Tiheä Saffiano-kudonta
• Kiiltävä metallinen avainkoukku, voidaan käyttää myös laukkukoristeena
• Suunniteltu merkkaamiseen
• Valmistusmaa Kiina
• Tullikoodi 3926909790

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 32-36 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys",""
"Boutique Pussi","• 100 % PU-keinonahkaa
• Tiheä Saffiano-kudonta
• Vetoketjukiinnitys
• Pehmeä vuori
• Valmistusmaa Kiina
• Tullikoodi 4202321000

M-koko: 18 x 11 x 4,5 cm - 0,75 litraa
L-koko: 25 x 16 x 10,3 cm - 3 litraa

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 32-36 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys",""
"Boutique Cross Body 1,5 L","• 100 % PU-keinonahkaa
• Koko: 21 x 13 x 7 cm
• Tilavuus: 1,5 litraa
• Hihnan pituus: 116 cm
• Tiheä Saffiano-kudonta
• Vetoketjullinen sisätasku
• Pehmeä vuori 
• Kiiltävä kullanvärinen metallinen vetoketju
• Irrotettava ja säädettävä olkahihna
• Yhteensopiva Boutique Olkahihnan BG765 kanssa
• Valmistusmaa Kiina
• Tullikoodi 4202221000

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 32-36 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys",""
"Boutique Soft Cross Body 1,5 L","• 100 % PU-keinonahkaa
• Koko: 23 x 3,5 x 16 cm
• Tilavuus: 1,5 litraa
• Hihnan pituus: 107 cm
• Tiheä Saffiano-kudonta
• Vetoketjullinen sisätasku ja useita lokeroita
• Pehmeä vuori
• Kiiltävä kullanvärinen metallinen vetoketju
• Irrotettava ja säädettävä olkahihna
• Yhteensopiva Boutique Olkahihnan BG765 kanssa
• Valmistusmaa Kiina
• Tullikoodi 4202221000

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 32-36 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys",""
"Boutique Weekender 25 L","• 100 % PU-keinonahkaa
• Koko: 53 x 26 x 24 cm
• Tilavuus: 25 litraa
• Tiheä Saffiano-kudonta
• Erikoispitkä vetoketju
• Pehmeä vuori 
• Vahvistettu pohja ja suojaavat kovikkeet pohjassa
• Kiiltävä kullanvärinen metallinen vetoketju
• Voidaan kantaa joko kädessä tai olkapäällä
• Irrotettava ja säädettävä olkahihna
• Yhteensopiva Boutique Olkahihnan BG765 kanssa
• Valmistusmaa Kiina
• Tullikoodi 4202921000

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 32-36 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys",""
"Boutique Puhelinkotelo","• 100 % PU-keinonahkaa
• Pehmeä vuori
• Vetoketjullinen tasku
• Etutaskussa magneettikiinnitys
• Irrotettava ja säädettävä olkahihna
• Kiiltävä kullanvärinen vetoketju
• Koko 20 x 13 cm
• Hihnan pituus 127 cm
• Valmistusmaa Kiina
• Tullikoodi 4202221000

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 32-36 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys",""
"Boutique Reppu","• 100 % PU-keinonahkaa
• Koko: 30 x 41 x 11 cm
• Tilavuus: 10 litraa
• Tiheä Saffiano-kudonta
• Vetoketjullinen päälokero
• Sisäpuolella pikkutasku ja vesipullon pidike
• Pehmustettu tasku 14” kannettavalle tietokoneelle
• Pehmeä vuori 
• Kiiltävät kullanväriset metalliset vetoketjut
• Hihna vetolaukun aisoihin
• Säädettävät olkahihnat
• Kantokahva
• Valmistusmaa Kiina
• Tullikoodi 4202221000

Valmistajan antamat ohjeet lämpösiirtoon:
• 145 astetta
• Puristus 32-36 PSI
• Suojaa tuote polyesterisellä huopakankaalla
• 5 sekunnin esiprässäys
• 15-20 sekunnin prässäys",""
"Molle Tactical Kangasmerkki","• 600D-polyesteriä
• Koko: 10 x 7 cm, merkkausalue 9 x 6 cm
• Yhteensopiva kaikkien BagBase® MOLLE-tuotteiden kanssa
• Suositeltu merkkaustapa: siirtokuva, silkkipaino ja sublimaatio
• Valmistusmaa Kiina
• Tullikoodi 6307909899",""
"Roll-Top Reppu 20 L","• 600D-polyesteriä
• Koko: 44 x 32 x 13 cm
• Tilavuus: 20 litraa
• Irrotettava TearAway-tuotelappu
• Pehmustettu tasku 15.6"" kannettavalle
• Pehmustetut ja säädettävät olkahihnat
• Pehmustettu takaosa ja pohjapaneelit
• Kantokahva",""
"Simplicity Rullareppu 15 L","• 100 % kierrätettyä 600D polyesteriä
• Koko: 50 x 40 x 13cm
• Tilavuus 15 litraa
• 100 % Control Unionin GRS sertifioitua polyesteriä
• Vettähylkivä materiaali
• Magneettikiinnitys
• Pehmustettu tasku läppärille, 15,6'' saakka
• Sivussa vetoketjullinen tasku esim. juomapullolle tai sateenvarjolle
• Vetoketjullinen etutasku on helppo merkata
• Pehmustettu selkäpuoli
• Kankaanväriset PU vetoketjut
• Pehmustetut säädettävät olkahihnat
• Valmistusmaa Kiina
• Tullikoodi: 4202929190",""
"Simplicity Tote Laukku 32 L","• Kierrätettyä 600D polyesteriä
• Control Union CU811033 sertifioitu materiaali
• Tuotteen paino: 435g
• Tilavuus: 35 x 55 x 16,5 cm
• Kevyesti topattu
• Vettähylkivä kangas
• Vetoketjukiinnitys
• Vetoketjulliset sisä- ja etutasku
• Päätytaskut
• Kahdet kantohihnat, 35cm ja 85 cm
• Valmistusmaa Kiina
• Tullikoodi 4202229090",""
